"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.419712138E0,4.780411422E-1,8.957691193E-1,-1.995184898E0
1.424712138E0,5.529313087E-1,1.039742589E0,-2.117547035E0
1.429712138E0,7.403788567E-1,1.099745512E0,-2.080386162E0
1.434712138E0,8.923398256E-1,1.067129850E0,-1.904246330E0
1.439712138E0,9.850481749E-1,9.392465353E-1,-1.559045792E0
1.444712138E0,1.068242311E0,7.537561655E-1,-1.147386551E0
1.449712138E0,1.105690122E0,5.404511690E-1,-7.722301483E-1
1.454712138E0,1.090535402E0,3.005056381E-1,-4.444656372E-1
1.459712138E0,1.025323749E0,7.872188091E-2,-1.002082825E-1
1.464712138E0,9.639495611E-1,-1.371954679E-1,1.166038513E-1
1.469712138E0,9.480415583E-1,-5.360162258E-1,-1.339254379E-1
1.474712138E0,7.924236655E-1,-6.965498328E-1,2.694034576E-2
1.479712138E0,7.110099196E-1,-7.619129419E-1,-2.798366547E-2
1.484712138E0,6.908118129E-1,-7.392624021E-1,-1.674537659E-1
1.489712138E0,6.488481760E-1,-7.386699915E-1,-3.777761459E-1
1.494712138E0,5.614755750E-1,-6.926220655E-1,-4.924192429E-1
1.499712138E0,5.052158833E-1,-6.882382631E-1,-6.802110672E-1
1.504712138E0,5.081406832E-1,-7.008545399E-1,-9.003715515E-1
1.509712138E0,4.983696938E-1,-7.218520641E-1,-1.135380745E0
1.514712138E0,4.453090429E-1,-7.073841095E-1,-1.312017441E0
1.519712138E0,3.925621510E-1,-6.457137465E-1,-1.467627525E0
1.524712138E0,2.741714716E-1,-4.825836420E-1,-1.429675102E0
1.529712138E0,1.932318211E-1,-3.125448227E-1,-1.280532837E0
1.534712138E0,1.789401770E-1,-2.066586018E-1,-1.206798553E0
1.539712138E0,1.763925552E-1,-1.369578838E-1,-1.222393036E0
1.544712138E0,1.507811546E-1,-1.393204927E-1,-1.324450493E0
1.549712138E0,4.759740829E-2,-2.041115761E-1,-1.405578613E0
1.554712138E0,-5.630838871E-2,-2.927051783E-1,-1.487680435E0
1.559712138E0,-1.579636335E-1,-3.556951284E-1,-1.598007202E0
1.564712138E0,-2.382377386E-1,-3.883882761E-1,-1.662561417E0
1.569712138E0,-3.035243750E-1,-3.863916993E-1,-1.665396690E0
1.574712138E0,-3.510907888E-1,-3.740642071E-1,-1.652585030E0
1.579712138E0,-3.411083221E-1,-3.902229071E-1,-1.667660713E0
1.584712138E0,-2.986419201E-1,-4.273140430E-1,-1.677369118E0
1.589712138E0,-2.181972265E-1,-4.237622023E-1,-1.737010956E0
1.594712138E0,-1.199307442E-1,-3.556986451E-1,-1.862608910E0
1.599712138E0,-1.737165451E-2,-2.135728598E-1,-2.030671120E0
1.604712138E0,6.487381458E-2,-2.588212490E-2,-2.198449135E0
1.609712138E0,9.031546116E-2,1.509442329E-1,-2.400451660E0
1.614712138E0,6.139731407E-2,3.340363503E-1,-2.556993484E0
1.619712138E0,4.721248150E-2,4.630409479E-1,-2.748272896E0
1.624712138E0,3.255486488E-2,5.528442860E-1,-2.953357220E0
1.629712138E0,2.572774887E-2,6.338373423E-1,-3.139174938E0
1.634712138E0,1.589536667E-2,6.731784344E-1,-3.272202969E0
1.639712138E0,6.534218788E-3,6.801571846E-1,-3.348077774E0
1.644712138E0,-1.757502556E-2,6.413060427E-1,-3.331114769E0
1.649712138E0,-5.209910870E-2,5.490809679E-1,-3.226108551E0
1.654712138E0,-5.862951279E-2,4.350053072E-1,-3.065199852E0
1.659712138E0,-1.080335975E-1,3.484629393E-1,-2.905462265E0
1.664712138E0,-1.673155427E-1,2.872110605E-1,-2.684567451E0
1.669712138E0,-2.419379950E-1,2.551296949E-1,-2.397335052E0
1.674712138E0,-2.990186214E-1,2.282159328E-1,-2.115277290E0
1.679712138E0,-2.706594467E-1,1.981897354E-1,-1.869873524E0
1.684712138E0,-2.432185411E-1,1.568562984E-1,-1.627643585E0
1.689712138E0,-1.894655824E-1,1.146051884E-1,-1.401002884E0
1.694712138E0,-1.499941945E-1,8.270311356E-2,-1.186640739E0
1.699712138E0,-1.564117074E-1,7.707571983E-2,-1.037036896E0
1.704712138E0,-2.062102556E-1,9.212994576E-2,-9.511289597E-1
1.709712138E0,-2.606562972E-1,1.347013712E-1,-9.100074768E-1
1.714712138E0,-3.475485444E-1,1.917253733E-1,-9.010543823E-1
1.719712138E0,-4.345039725E-1,2.458246946E-1,-9.120082855E-1
1.724712138E0,-5.174140334E-1,3.020725250E-1,-1.011063576E0
1.729712138E0,-5.533684492E-1,3.654577732E-1,-1.164011002E0
1.734712138E0,-5.390821099E-1,4.431777000E-1,-1.306302071E0
1.739712138E0,-5.151226521E-1,5.448538065E-1,-1.471181870E0
1.744712138E0,-4.375333786E-1,6.576102972E-1,-1.577048302E0
1.749712138E0,-3.577120602E-1,7.816114426E-1,-1.590091705E0
1.754712138E0,-2.915400267E-1,8.775860071E-1,-1.506741524E0
1.759712138E0,-2.388601303E-1,9.230654240E-1,-1.349261284E0
1.764712138E0,-1.661042571E-1,9.698483944E-1,-1.109940529E0
1.769712138E0,-1.542626023E-1,9.411884546E-1,-8.009948730E-1
1.774712138E0,-2.438557744E-1,8.979057074E-1,-4.444265366E-1
1.779712138E0,-3.341527581E-1,8.200358152E-1,-8.882617950E-2
1.784712138E0,-4.057854712E-1,7.200318575E-1,1.855020523E-1
1.789712138E0,-4.717229903E-1,6.426846981E-1,4.024715424E-1
1.794712138E0,-4.633439779E-1,6.441444159E-1,5.916881561E-1
1.799712138E0,-3.864212632E-1,6.593416929E-1,7.699890137E-1
1.804712138E0,-2.717965841E-1,6.730240583E-1,9.834413528E-1
1.809712138E0,-1.341707706E-1,7.332085371E-1,1.234398842E0
1.814712138E0,1.796115637E-1,6.920137405E-1,1.530420303E0
1.819712138E0,5.586320758E-1,5.812216997E-1,1.857372284E0
1.824712138E0,4.893767834E-1,4.810409546E-1,2.171293259E0
1.829712138E0,5.298244953E-1,3.450022936E-1,2.465149879E0
1.834712138E0,4.607176781E-1,2.856200933E-1,2.829704285E0
1.839712138E0,3.447589278E-1,2.523051500E-1,3.053857803E0
1.844712138E0,1.280214190E-1,2.481039762E-1,3.046382904E0
1.849712138E0,-1.559907198E-2,1.934385300E-1,2.900115967E0
1.854712138E0,-1.962482929E-1,1.187930107E-1,2.729049683E0
1.859712138E0,-2.480861396E-1,-1.076698303E-3,2.535616875E0
1.864712138E0,-3.049392998E-1,-8.920252323E-2,2.278633118E0
1.869712138E0,-3.826339245E-1,-1.459105015E-1,1.886304855E0
1.874712138E0,-3.837539852E-1,-1.957304478E-1,1.800083160E0
1.879712138E0,-4.017178416E-1,-1.756764650E-1,1.714818001E0
