"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.909752516E2,2.416875076E1,3.168750048E0,2.536875153E1
4.909852516E2,2.355000114E1,1.837500095E0,2.671875191E1
4.909952516E2,2.473125076E1,3.300000191E0,2.643750191E1
4.910052516E2,2.400000000E1,1.837500095E0,2.718750191E1
4.910152516E2,2.475000191E1,2.868750095E0,2.596875191E1
4.910252516E2,2.486250114E1,1.106250048E0,2.445000076E1
4.910352516E2,2.353125000E1,3.618750095E0,2.598750114E1
4.910452516E2,2.394375038E1,4.350000381E0,2.643750191E1
4.910552516E2,2.653125191E1,2.250000000E0,2.748750114E1
4.910652516E2,2.535000038E1,2.418750048E0,2.658750153E1
4.910752516E2,2.458125114E1,3.450000048E0,2.613750076E1
4.910852516E2,2.467500114E1,4.331250191E0,2.720625114E1
4.910952516E2,2.546250153E1,2.850000143E0,2.748750114E1
4.911052516E2,2.471250153E1,4.350000381E0,2.568750191E1
4.911152516E2,2.437500191E1,1.106250048E0,2.520000076E1
4.911252516E2,2.418750191E1,1.987500072E0,2.581875038E1
4.911352516E2,2.418750191E1,1.987500072E0,2.581875038E1
4.911452516E2,2.550000191E1,1.818750024E0,2.748750114E1
4.911552516E2,2.385000038E1,2.737500191E0,2.611875153E1
4.911652516E2,2.409375191E1,3.450000048E0,2.688750076E1
4.911752516E2,2.542500114E1,1.987500072E0,2.505000114E1
4.911852516E2,2.428125191E1,3.318750143E0,2.643750191E1
4.911952516E2,2.398125076E1,3.318750143E0,2.598750114E1
4.912052516E2,2.463750076E1,1.687500119E0,2.611875153E1
4.912152516E2,2.493750191E1,1.987500072E0,2.611875153E1
4.912252516E2,2.480625153E1,2.287500143E0,2.521875191E1
4.912352516E2,2.392500114E1,4.350000381E0,2.675625038E1
4.912452516E2,2.347500038E1,2.568750143E0,2.825625038E1
4.912552516E2,2.385000038E1,3.918750048E0,2.506875038E1
4.912652516E2,2.431875038E1,1.837500095E0,2.671875191E1
4.912752516E2,2.461875153E1,9.375000596E-1,2.731875038E1
4.912852516E2,2.388750076E1,1.706250072E0,2.611875153E1
4.912952516E2,2.343750000E1,2.006250143E0,2.536875153E1
4.913052516E2,2.476875114E1,1.837500095E0,2.671875191E1
4.913152516E2,2.416875076E1,2.737500191E0,2.581875038E1
4.913252516E2,2.461875153E1,1.687500119E0,2.656875038E1
4.913352516E2,2.540625191E1,5.062500238E-1,2.656875038E1
4.913452516E2,2.392500114E1,3.600000143E0,2.750625038E1
4.913552516E2,2.643750191E1,2.400000095E0,2.581875038E1
4.913652516E2,2.615625191E1,2.418750048E0,2.536875153E1
4.913752516E2,2.538750076E1,1.987500072E0,2.581875038E1
4.913852516E2,2.310000038E1,3.187500238E0,2.536875153E1
4.913952516E2,2.478750038E1,2.868750095E0,2.521875191E1
4.914052516E2,2.495625114E1,1.237500072E0,2.611875153E1
4.914152516E2,2.685000038E1,3.131250143E0,2.613750076E1
4.914252516E2,2.491875076E1,1.987500072E0,2.656875038E1
4.914352516E2,2.430000114E1,1.537500024E0,2.716875076E1
4.914452516E2,2.431875038E1,2.287500143E0,2.596875191E1
