"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.735103820E-1,5.299251899E-2,-2.237292230E-1,-6.276635826E-2
5.756169970E-1,3.955349326E-2,-2.261726856E-1,-6.887500733E-2
5.777236120E-1,2.489273995E-2,-2.310595959E-1,-7.498364896E-2
5.798302780E-1,9.010255337E-3,-2.347247899E-1,-8.353576064E-2
5.819368930E-1,-9.315688163E-3,-2.457203567E-1,-8.964440972E-2
5.840435070E-1,-3.008509055E-2,-2.579376400E-1,-9.697478265E-2
5.861501220E-1,-4.963276163E-2,-2.701549530E-1,-1.043051630E-1
5.882567370E-1,-7.162389904E-2,-2.835939825E-1,-1.116355360E-1
5.903633510E-1,-9.361502528E-2,-2.982547283E-1,-1.177441850E-1
5.924700180E-1,-1.143844277E-1,-3.141372204E-1,-1.250745654E-1
5.945766320E-1,-1.388190240E-1,-3.263545036E-1,-1.311832070E-1
5.966832470E-1,-1.595884264E-1,-3.385718167E-1,-1.360701323E-1
5.987898620E-1,-1.791360974E-1,-3.471239209E-1,-1.409570426E-1
6.008964760E-1,-1.999054998E-1,-3.568977416E-1,-1.446222365E-1
6.030031430E-1,-2.170097083E-1,-3.605629504E-1,-1.495091617E-1
6.051097570E-1,-2.341139317E-1,-3.691150546E-1,-1.507308781E-1
6.072163720E-1,-2.487746775E-1,-3.691150546E-1,-1.531743407E-1
6.093229870E-1,-2.634354234E-1,-3.678933084E-1,-1.519526094E-1
6.114296010E-1,-2.732092738E-1,-3.678933084E-1,-1.507308781E-1
6.135362160E-1,-2.829830945E-1,-3.691150546E-1,-1.470656991E-1
6.156428300E-1,-2.915352285E-1,-3.654498458E-1,-1.434005052E-1
6.177494970E-1,-2.952004075E-1,-3.617846668E-1,-1.397353113E-1
6.198561120E-1,-2.988655865E-1,-3.568977416E-1,-1.336266696E-1
6.219627260E-1,-3.000873327E-1,-3.483456373E-1,-1.275180280E-1
6.240693930E-1,-2.964221239E-1,-3.459021747E-1,-1.201876476E-1
6.261759550E-1,-2.903134823E-1,-3.397935331E-1,-1.104138121E-1
6.282826220E-1,-2.829830945E-1,-3.349066079E-1,-9.941824526E-2
6.303892370E-1,-2.744309902E-1,-3.202458620E-1,-8.842267841E-2
6.324958510E-1,-2.622137070E-1,-3.092502952E-1,-7.620538026E-2
6.346024660E-1,-2.487746775E-1,-3.006981909E-1,-6.520981342E-2
6.367090800E-1,-2.304487377E-1,-2.872591615E-1,-5.177079141E-2
6.388156950E-1,-2.109010667E-1,-2.799287736E-1,-3.588830680E-2
6.409223620E-1,-1.901316643E-1,-2.603811026E-1,-2.244928107E-2
6.430289760E-1,-1.669187993E-1,-2.481638193E-1,-9.010255337E-3
6.451355910E-1,-1.412624866E-1,-2.359465212E-1,5.650499370E-3
6.472422570E-1,-1.156061590E-1,-2.237292230E-1,1.908952370E-2
6.493488200E-1,-8.506292105E-2,-2.102901936E-1,3.252854943E-2
6.514554870E-1,-6.062832847E-2,-1.968511790E-1,4.596757516E-2
6.535621010E-1,-3.008509055E-2,-1.834121495E-1,5.818486959E-2
6.556687160E-1,-1.985310577E-3,-1.785252392E-1,6.795870513E-2
6.577753300E-1,2.244928107E-2,-1.663079411E-1,7.651081681E-2
